temperature,run_number,model,success,tags,summary,latency_ms,error
0.7,1,qwen3:8b,True,"[""food recall"", ""almond allergy"", ""spinach product""]","Valley Harvest recalls spinach bags with undeclared almonds, affecting lot code VH0826.",9696.96,
0.7,2,qwen3:8b,True,"[""food recall"", ""almond allergy"", ""spinach contamination""]","Valley Harvest recalls spinach bags with undeclared almonds, affecting lot code VH0826.",9698.44,
0.7,3,qwen3:8b,True,"[""food recall"", ""almond allergy"", ""spinach contamination""]","Valley Harvest recalls spinach bags with undeclared almonds, affecting lot code VH0826.",9690.48,
0.7,4,qwen3:8b,True,"[""food recall"", ""almond allergy"", ""spinach product""]","Valley Harvest recalls spinach bags with undeclared almonds, affecting lot code VH0826.",9632.27,
0.7,5,qwen3:8b,True,"[""food recall"", ""almond allergy"", ""spinach safety""]","Valley Harvest recalls spinach bags with undeclared almonds, affecting lot code VH0826.",9588.22,
0.7,6,qwen3:8b,True,"[""food recall"", ""almond allergy"", ""spinach safety""]","Valley Harvest recalls spinach bags with undeclared almonds, affecting lot code VH0826.",9589.29,
0.7,7,qwen3:8b,True,"[""food recall"", ""almond allergy"", ""spinach product""]","Valley Harvest recalls spinach bags with undeclared almonds, affecting lot code VH0826.",9601.64,
0.7,8,qwen3:8b,True,"[""food recall"", ""almond allergy"", ""spinach contamination""]","Valley Harvest recalls spinach bags with undeclared almonds, affecting lot code VH0826.",9925.47,
0.7,9,qwen3:8b,True,"[""food recall"", ""almond allergy"", ""spinach contamination""]","Valley Harvest recalls spinach bags with undeclared almonds, affecting lot code VH0826.",9714.86,
0.7,10,qwen3:8b,True,"[""food recall"", ""almond allergy"", ""spinach contamination""]","Valley Harvest recalls spinach bags with undeclared almonds, advising allergic customers to return for refund.",9902.02,
0.7,11,qwen3:8b,True,"[""food recall"", ""almond allergy"", ""spinach contamination""]","Valley Harvest recalls spinach bags with undeclared almonds, affecting lot code VH0826.",10180.85,
0.7,12,qwen3:8b,True,"[""food recall"", ""almond allergy"", ""spinach contamination""]","Valley Harvest recalls spinach bags with undeclared almonds, advising allergic customers to return for refund.",9743.28,
0.7,13,qwen3:8b,True,"[""food recall"", ""almond allergy"", ""spinach contamination""]","Valley Harvest recalls spinach bags with undeclared almonds, affecting lot code VH0826.",9879.65,
0.7,14,qwen3:8b,True,"[""food recall"", ""almond allergy"", ""spinach contamination""]","Valley Harvest recalls spinach bags with undeclared almonds, affecting lot code VH0826.",9936.86,
0.7,15,qwen3:8b,True,"[""food recall"", ""almond allergy"", ""spinach contamination""]","Valley Harvest recalls spinach bags with undeclared almonds, advising allergic customers to return for refund.",10131.23,
0.7,16,qwen3:8b,True,"[""food recall"", ""almond allergy"", ""spinach contamination""]","Valley Harvest recalls spinach bags with undeclared almonds, affecting lot code VH0826.",10122.71,
